date,pred_close
2021-07-06,230.40043894874552
2021-07-07,231.0530336244194
2021-07-08,226.7865448127627
2021-07-09,228.31349960640762
2021-07-12,229.96632141019143
2021-07-13,236.4904141916856
2021-07-14,240.0077630696714
2021-07-15,231.4256049854608
2021-07-16,230.4766955259272
2021-07-19,225.36520319851195
2021-07-20,222.0023053032078
2021-07-22,226.4879805001011
2021-07-23,226.77723176038026
2021-07-26,222.1493948134433
2021-07-27,221.81566981128478
2021-07-28,220.90490572359516
2021-07-29,216.14466178632335
2021-07-30,223.4215465650895
2021-08-02,228.63761951470622
2021-08-03,228.8769767078694
2021-08-04,226.10712748773932
2021-08-05,222.53636459631116
2021-08-06,223.3826197499058
2021-08-09,222.98747385292296
2021-08-10,215.55002460029357
2021-08-11,214.29355848080652
2021-08-12,224.11763862549276
2021-08-13,224.52846636242995
2021-08-16,225.8792032798769
2021-08-17,222.25977857610087
2021-08-18,220.06861867441876
2021-08-20,211.25818356156134
2021-08-23,204.98597100930525
2021-08-24,208.97701592170907
2021-08-25,208.14833090548368
2021-08-26,208.63328634009713
2021-08-27,209.19187392170232
2021-08-30,212.4464376822568
2021-08-31,212.9513831214275
2021-09-01,218.71561062687272
2021-09-02,222.06935324214928
2021-09-03,222.72639993686107
2021-09-06,221.8359774039098
2021-09-07,217.68677949105947
2021-09-08,214.95236402438584
2021-09-09,214.9240903411366
2021-09-13,214.92252279557854
2021-09-14,220.9285994535706
2021-09-15,222.00888030763556
2021-09-16,221.8435316828837
2021-09-17,223.54292900297392
2021-09-20,217.84017540125657
2021-09-21,219.31164665190568
2021-09-22,232.39841455327326
2021-09-23,236.86130508070775
2021-09-24,228.42602745976296
2021-09-27,231.95563130391415
2021-09-28,226.8032488258039
2021-09-29,224.95639390384326
2021-09-30,225.95205752442698
2021-10-01,224.15637488997433
2021-10-04,228.19170516785888
2021-10-05,225.3855882702662
2021-10-06,221.99722404836402
