date,pred_close
2021-07-06,169.09306084591557
2021-07-07,168.2215233362122
2021-07-08,167.15473948047605
2021-07-09,167.54540284976687
2021-07-12,165.67474136330222
2021-07-13,173.1602681987392
2021-07-14,172.2234233208849
2021-07-15,173.25456739687428
2021-07-16,178.21962284660717
2021-07-19,175.3083362188548
2021-07-20,171.407026526054
2021-07-22,175.68888954831365
2021-07-23,173.76768274270617
2021-07-26,174.71369396021234
2021-07-27,174.07301118621277
2021-07-28,173.63474469813988
2021-07-29,182.52956433157448
2021-07-30,181.57476445163047
2021-08-02,180.07121785530788
2021-08-03,181.04100338259892
2021-08-04,179.25727107047004
2021-08-05,179.6647161886415
2021-08-06,178.59936185661832
2021-08-09,174.88351623620608
2021-08-10,168.1273249726499
2021-08-11,171.22888066435706
2021-08-12,173.9091127618207
2021-08-13,171.4593970102595
2021-08-16,172.257227116499
2021-08-17,167.1964394250271
2021-08-18,166.63522880989825
2021-08-20,151.48022018337298
2021-08-23,146.75647850059187
2021-08-24,154.69887011709065
2021-08-25,156.02614280609467
2021-08-26,148.09247963022594
2021-08-27,152.40267920540091
2021-08-30,155.3279304043952
2021-08-31,153.98570718155744
2021-09-01,152.29847453847023
2021-09-02,153.58072191844064
2021-09-03,154.54203478132715
2021-09-06,153.49282029926886
2021-09-07,151.4349165183699
2021-09-08,152.51903484450762
2021-09-09,152.02533220073173
2021-09-13,151.54488619175748
2021-09-14,151.921186631515
2021-09-15,154.07792673399757
2021-09-16,152.20607897443466
2021-09-17,147.66219416213818
2021-09-20,136.1036297243505
2021-09-21,138.11268440969496
2021-09-22,144.20534134190856
2021-09-23,142.9429847010299
2021-09-24,140.013698171442
2021-09-27,139.58175654136156
2021-09-28,140.6190028577581
2021-09-29,142.98252004300625
2021-09-30,143.3441302173796
2021-10-01,143.89953591865364
2021-10-04,148.07354985197378
2021-10-05,146.73632399124426
2021-10-06,143.132965753676
